score,count,cumulative
658,109,109
657,16,125
656,15,140
655,16,156
654,12,168
653,26,194
652,20,214
651,22,236
650,14,250
649,25,275
648,24,299
647,37,336
646,45,381
645,37,418
644,32,450
643,47,497
642,43,540
641,47,587
640,39,626
639,46,672
638,54,726
637,49,775
636,53,828
635,61,889
634,69,958
633,74,1032
632,79,1111
631,60,1171
630,79,1250
629,87,1337
628,79,1416
627,73,1489
626,110,1599
625,94,1693
624,102,1795
623,133,1928
622,102,2030
621,100,2130
620,123,2253
619,130,2383
618,127,2510
617,134,2644
616,140,2784
615,160,2944
614,148,3092
613,169,3261
612,170,3431
611,174,3605
610,136,3741
609,180,3921
608,183,4104
607,165,4269
606,193,4462
605,196,4658
604,231,4889
603,212,5101
602,199,5300
601,258,5558
600,238,5796
599,235,6031
598,245,6276
597,250,6526
596,239,6765
595,258,7023
594,264,7287
593,264,7551
592,267,7818
591,288,8106
590,293,8399
589,308,8707
588,269,8976
587,353,9329
586,299,9628
585,314,9942
584,303,10245
583,293,10538
582,318,10856
581,316,11172
580,343,11515
579,365,11880
578,364,12244
577,384,12628
576,349,12977
575,362,13339
574,370,13709
573,408,14117
572,366,14483
571,367,14850
570,396,15246
569,367,15613
568,362,15975
567,371,16346
566,395,16741
565,399,17140
564,434,17574
563,431,18005
562,391,18396
561,417,18813
560,411,19224
559,422,19646
558,429,20075
557,418,20493
556,447,20940
555,465,21405
554,456,21861
553,466,22327
552,474,22801
551,446,23247
550,472,23719
549,456,24175
548,474,24649
547,466,25115
546,467,25582
545,465,26047
544,493,26540
543,442,26982
542,448,27430
541,474,27904
540,504,28408
539,480,28888
538,463,29351
537,488,29839
536,462,30301
535,431,30732
534,468,31200
533,464,31664
532,457,32121
531,476,32597
530,486,33083
529,471,33554
528,525,34079
527,470,34549
526,506,35055
525,501,35556
524,493,36049
523,489,36538
522,490,37028
521,501,37529
520,478,38007
519,481,38488
518,472,38960
517,468,39428
516,481,39909
515,514,40423
514,474,40897
513,490,41387
512,475,41862
511,473,42335
510,454,42789
509,486,43275
508,455,43730
507,503,44233
506,479,44712
505,545,45257
504,477,45734
503,495,46229
502,449,46678
501,478,47156
500,483,47639
499,513,48152
498,478,48630
497,490,49120
496,457,49577
495,488,50065
494,471,50536
493,462,50998
492,497,51495
491,510,52005
490,530,52535
489,468,53003
488,479,53482
487,438,53920
486,487,54407
485,521,54928
484,474,55402
483,513,55915
482,483,56398
